,title,genre,year,country,rate,description
35,Болеро. Душа Парижа,"Драма, Биография, Музыка",2024,Франция,7.2,"Франция, 1928 год. Эксцентричный хореограф Ида Рубинштейн славится провокативными постановками. Она просит Мориса Равеля написать для ее будущего балета музыкальную тему, полную подлинного эротизма и предельной чувственности. Молодой композитор должен превзойти себя и создать нечто новаторское, а вдохновение его подводит. Критики находят его работы талантливыми, но лишенными всяких эмоций. Тогда Морис решает предаться страсти и с головой погрузиться в запретный роман, чтобы создать свой первый шедевр."
36,Притворись моим мужем,"Комедия, Мелодрама",2025,Россия,8.2,"Красавица Виктория слишком увлечена развитием бизнеса, чтобы распыляться на отношения. Ее команда упорно работала над заключением контракта с крупными инвесторами из ОАЭ, но сделка рискует сорваться. Виной тому одиночество Вики: арабские партнеры сотрудничают только с семейными людьми. Чтобы исправить ситуацию, девушка выдает за жениха своего подчиненного Романа. К несчастью, инвестор решает оплатить свадьбу фиктивных возлюбленных и приглашает в Дубай их родителей."
37,Бес попутал,"Комедия, Фэнтези",2025,Россия,8.2,"Парень заключает сделку с бесом, чтобы вернуться в мир живых. У Вани все идет по плану. У парня есть хорошая работа, доверчивая девушка и даже любовница. Но все меняется, когда его сбивает машина и он попадает в кому. После этого Ваня оказывается перед бесом, который делает ему заманчивое предложение. Чтобы избежать ада и получить второй шанс, он должен отправить на тот свет невинную девушку Аню. Только вот встреча с незнакомкой заставляет Ваню переосмыслить свою жизнь, ставя его перед сложнейшим выбором."
38,Гранд тур,Драма,2024,Япония,6.4,"Эффектная черно-белая драма из конкурса Каннского кинофестиваля 2024 года. Бирма, январь 1917 года. Государственный служащий Британской империи Эдвард семь лет не видел свою невесту. Ожидая приезда Молли по случаю их свадьбы, он внезапно решает сбежать. Эдвард отправляется в путешествие по Азии и предается меланхоличным рассуждениям о сути бытия. Но твердо решившая выйти замуж Молли едет за ним, а ее телеграммы неустанно настигают сбежавшего жениха, куда бы он ни направился."
39,Маме снова 17,"Комедия, Фантастика",2024,Россия,8.6,"2005 год. После посещения знахарки с 17-летней Олей происходят очень странные события. Она просыпается в 2024 году, повзрослев почти на 20 лет. Беспечная девушка осознает, что занимает должность школьного директора и одна воспитывает сына. Легкомысленной Оле приходится забыть о беззаботной жизни и взять на себя серьезные обязательства. Но как это сделать, когда у тебя нет никакого опыта?"
40,Бесит. Фильм,"Комедия, Драма, Триллер",2025,Россия,7.0,"Полнометражная версия одноименного сериала о насущных проблемах современного общества. Проект высказывается о домашнем насилии, чрезмерных родительских амбициях, жестокости в интернете, завышенных требованиях общества к девушкам и многом другом. Главный критерий темы — актуальность, каждая сюжетная линия снята отдельным режиссером."
41,Тропа гнева,Боевик,2025,Россия,7.9,"Бывший пограничник Сергей Марков ведет отшельнический образ жизни. Он давно не видел дочь Катю, которая уехала в Таджикистан для работы над фильмом. Сергей узнает, что самолет потерпел крушение, а девушку взял в плен местный криминальный авторитет. Таким образом Басир рассчитывает свести счеты с Марковым, и бывший военный срочно отправляется в Душанбе. Ему предстоит в кратчайшие сроки провести расследование и вызволить дочь из рук террористов."
42,Джон Уик 2,"Боевик, Триллер, Криминал",2017,Гонконг,8.7,"После смерти жены герой Киану Ривза обещает себе больше не брать оружие в руки, но бывший напарник безапелляционно требует его помощи. Бескомпромиссный итальянец Сантино Д’Антонио когда-то всему научил Джона, а теперь просит вернуть должок. Чтобы расквитаться, Уик должен прикончить сестру Сантино, ставшую главой международной гильдии профессиональных убийц. Отказ станет грубым нарушением кодекса чести всех киллеров. Как поступит величайший из ассасинов?"
43,Ночь с психопатом,"Триллер, Комедия",2025,США,7.0,"Комедийный триллер о сумасшедшем поклоннике, заставляющем популярную певицу выйти за него. 1990 годы. Несколько месяцев назад Пол пробрался в дом обворожительной поп-звезды Софии, которую считает своей девушкой. Он ранил охранника, однако был пойман. Неуравновешенный фанат угодил в лечебницу, но ему все-таки удалось сбежать. Вместе со своими сумасшедшими подельниками Пол решает вновь проникнуть в особняк кумира, чтобы любой ценой заставить Софию стать его женой."
44,Финист. Первый богатырь,"Фэнтези, Приключения, Семейный",2025,Россия,8.6,"Отважный Финист Ясный Сокол – настоящий пример для всех богатырей. Гордый и самоуверенный герой постоянно ищет себе новые достойные испытания, чтобы все вокруг продолжали им восхищаться. Так, храбрый богатырь решает сразить грозного монстра, живущего в заброшенном замке. Путь к новому великому свершению обернется для героя головокружительным восточным приключением в компании оруженосца Мелехи и молодой Бабы-Яги. Яркое странствие поможет Финисту познать простую истину, что один в поле не воин."
45,Холоп. Великолепный век,"Комедия, Приключения",2024,Турция,7.5,"Керем Бюрсин принимает эстафету у Милоша Биковича и переносится в прошлое в турецкой адаптации «Холопа». Мете — избалованный стамбульский мажор, который окончательно отбился от рук. Выходки юноши больно бьют по отцовскому бизнесу, и тогда встревоженный родитель решается на педагогический эксперимент, нанимая эксцентричного режиссера. Перед труппой постановщика стоит задача — убедить Мете, что на дворе XVI век. А сам юноша не богатый наследник, а слуга."
46,Иллюзия превосходства,"Фантастика, Триллер",2023,Великобритания,7.9,"Инженер Аби работает в престижной фирме, которая занимается созданием человекоподобных андроидов. Их главная задача — синхронизироваться со всеми гаджетами хозяина и считывать его желания. Один из образцов Аби забирает домой, чтобы протестировать лично. В компании мужа и робота женщина едет за город, чтобы поработать и заодно наладить семейные отношения. Андроид отлично справляется с обязанностями, пока не узнает про неверность супруга хозяйки. Тогда робот решает избавиться от соперника и занять его место. Ведь только ему известно, что на самом деле хочет Аби."
